vintage,vintage_year,vintage_month,forecast_year,iso3,country,subject_code,subject_descriptor,units,value
1998-Oct,1998,Oct,1999,GRC,Greece,BCA_GDP_BP6,Current account balance,Percent of GDP,-2.0937335500193077
1998-Oct,1998,Oct,1999,IRL,Ireland,BCA_GDP_BP6,Current account balance,Percent of GDP,3.596027405364056
1998-Oct,1998,Oct,1999,ITA,Italy,BCA_GDP_BP6,Current account balance,Percent of GDP,2.3193956064195853
1998-Oct,1998,Oct,1999,LUX,Luxembourg,BCA_GDP_BP6,Current account balance,Percent of GDP,
1998-Oct,1998,Oct,1999,NLD,Netherlands,BCA_GDP_BP6,Current account balance,Percent of GDP,6.1227075787513385
1998-Oct,1998,Oct,1999,PRT,Portugal,BCA_GDP_BP6,Current account balance,Percent of GDP,-2.066871460834434
1999-Apr,1999,Apr,2000,AUT,Austria,BCA_GDP_BP6,Current account balance,Percent of GDP,-1.3155862754087015
1999-Apr,1999,Apr,2000,BEL,Belgium,BCA_GDP_BP6,Current account balance,Percent of GDP,5.375108977525246
1999-Apr,1999,Apr,2000,DEU,Germany,BCA_GDP_BP6,Current account balance,Percent of GDP,0.019944591668083416
1999-Apr,1999,Apr,2000,ESP,Spain,BCA_GDP_BP6,Current account balance,Percent of GDP,-0.8235689173510108
1999-Apr,1999,Apr,2000,FIN,Finland,BCA_GDP_BP6,Current account balance,Percent of GDP,4.88551814239264
1999-Apr,1999,Apr,2000,FRA,France,BCA_GDP_BP6,Current account balance,Percent of GDP,2.983752577155898
1999-Apr,1999,Apr,2000,GRC,Greece,BCA_GDP_BP6,Current account balance,Percent of GDP,-2.632493132422945
1999-Apr,1999,Apr,2000,IRL,Ireland,BCA_GDP_BP6,Current account balance,Percent of GDP,1.8158312974309612
1999-Apr,1999,Apr,2000,ITA,Italy,BCA_GDP_BP6,Current account balance,Percent of GDP,2.3452546689595706
1999-Apr,1999,Apr,2000,LUX,Luxembourg,BCA_GDP_BP6,Current account balance,Percent of GDP,
1999-Apr,1999,Apr,2000,NLD,Netherlands,BCA_GDP_BP6,Current account balance,Percent of GDP,5.84122085796919
1999-Apr,1999,Apr,2000,PRT,Portugal,BCA_GDP_BP6,Current account balance,Percent of GDP,-3.6979843236284795
